肺泡蛋白质沉积症,约40%
残胃癌,外科手术治愈率约为45-65%
残窦综合征,75%
肠易激综合征,85%
肠梗阻,85%
苍耳中毒,60%
肠道病毒所致各系统感染,40%
肠系膜上动脉栓塞,70%
肠道气囊肿症,75%
餐后血糖过低症,75%
肠结核,80%
肠系膜上静脉血栓形成,95%
大网膜扭转,70%
胆道运动功能障碍综合征,70%
胆道张力低下综合征,60-70%
胆囊管综合征,75%(外科手术治疗)
胆石性肠绞塞综合征,30%
胆汁淤积性黄疸,90%
第五日综合征,50%
蛋白丧失胃肠综合征,40%
胆囊-结肠肝曲粘连综合征,65%
胆石症,70%
胆囊切除术后综合征,70%
大肠息肉,90%
多发性消化道息肉综合征,99%
大肠梗阻,90%
胆汁性肝硬化,60%
丁型病毒性肝炎,可以达到50%以上
胆汁返流性胃炎,80%
胆管癌,外科手术治愈率约为75%
大肠类癌,60%
毒蕈中毒,根据不同中毒类型，一般为60%
敌鼠中毒,80%
大肠癌,65%
大肠恶性淋巴瘤,35%
Ehler-Danlos综合征,35%
儿童胰腺功能不全并中性粒细胞减少症综合征,65%
儿童腹痛,80%
呃逆症,90%
非溃疡消化不良,95%
分流性高胆红素血症综合征,40%
粪类圆线虫病,65%
腹肌缺如综合征,75%
腹绞痛综合征,70%
腹膜后感染与脓肿,85%
腹膜后间隙出血,60%
腹膜后淋巴结炎,65%
腹膜后腔液体渗病,60%
腹膜后疝,80%
腹膜间皮瘤,60%
腹腔动脉压迫综合征,60%
腹型癫痫综合征,40%
腹型偏头痛综合征,70%
腹主动脉血栓形成综合征,47%
腹卒中综合征,75%
Felty综合征,65%
腹痛,95%
腹膜炎,60-80%
腹泻,98%
反流性食管炎,90%
沙门氏菌属食物中毒,99%能够治愈
放射性肠炎,70%
福尔马林中毒,一般正规三甲医院治愈率为60%
发芽马铃薯中毒,80-90%
副溶血性弧菌食物中毒,85%
非寄生虫性肝囊肿,85%
非酒精性脂肪性肝病,60%
非霍乱弧菌感染,90%
肛门闭锁,60%
高锰酸钾中毒,89%治愈
肝-甲状腺综合征,70%
肝纤维化,70%
肝肺综合症,65%
Gardner综合征,70%
功能性呕吐,80%
肝性脊髓病,经过手术治疗后，一般95%可以治愈
肝炎双重感染,慢性丙肝80%
肝炎后综合征,90%
膈膨出和麻痹,50%
肝性脑病,70%
肝硬化,为不可逆性病变，肝移植可治愈
肝脓肿,90%
功能性消化不良,79%
钩虫病,85%
肝腺瘤,60%
肝外胆管损伤,68%
肝损伤,50%
肝囊肿,80%
肝包虫囊肿,75%
膈下脓肿,80%
肝血管瘤,90%
钩虫性十二指肠炎综合征,60%
膈先天性缺损,外科手术治愈率约为65%-75%
膈疝,60%
肛管、直肠、结肠狭窄,80%
膈扑动,65%
含亚硝酸盐类植物性食物中毒,50%
化脓性汗腺炎,60%
回盲瓣综合征,60%
活动盲肠综合征,70%
横膈下结肠嵌入综合征,75%
黄疸,95%
黑色素斑-胃肠多发性息肉综合征,85%
蛔虫病,80-90%
霍乱样综合征,10%
结、直肠黑变病,60-70%
结肠粪性穿孔,45-65%(外科手术治疗)
结肠憩室病,70%
甲醇中毒,80%
局部麻醉药中毒,85%
结核性腹膜炎,70-80%
急性胃扩张,99%
急性化脓性胆管炎,80%
急性出血性坏死性肠炎,70%
结肠闭锁,60%
结肠直肠损伤,80%
结核性肠系膜淋巴结炎,80%
结肠扭转,70%
结肠瘘,40%-60%
结肠癌,30-50%
急性胃粘膜病变,97%
急性腐蚀性胃炎,79%
急性单纯性胃炎,98%
假膜性肠炎,70%，轻症病例停用抗生素后可自愈
家族性结肠息肉,10%
急性腹膜炎,80%
酒精性肝病,40-50%
甲型肝炎,99.99%
急性胃肠炎,9%
结肠息肉,80%
急性胃炎,95%
急性阑尾炎,90%
巨膀胱-小结肠-肠蠕动不良综合征,80%
结缔组织性肠炎,70%
急性腹型-高脂血症综合征,是不能治愈的疾病
Turcot综合征,40%
急性结肠假性梗阻综合征,60-70%
急性胆囊炎,90%
吉尔伯特综合征,85%
结石性胆囊炎,90%
急性胰腺炎,80%
结肠损伤,80%
可拉明中毒,80%
奎宁中毒,60%
克罗恩病,2%
α1-抗胰蛋白酶缺乏症,该疾病为常染色体共显性遗传病，无法治愈
溃疡性结肠炎,57%
磷中毒,60%-95%
轮状病毒所致胃肠炎,84%
类癌,70%
氯丙嗪类中毒,90%
氯喹中毒,75%
淋菌性肛门直肠炎,85%
阑尾寄生虫病,99%
轮状病毒性肠炎,80%
良性阵发性腹膜炎综合征,75%
痢疾后综合症,70-80%
蓝色橡皮泡痣综合症,78%
老年急性阑尾炎,98%
淋巴结-胆道综合征,外科手术治愈率约60-70%
郎-奥韦综合征,50-70%
旅游者腹泻,60%
慢性胰腺炎,75%
Milk-Alkali综合征,75%
麦胶性肠病,80%
慢性溃疡性结肠炎,2%
弥漫性食管痉挛,90%
慢性胃炎,85%
毛石肠梗阻综合征,80%
盲袢综合征,40%
尼曼－匹克氏病,无特效治疗方法
农药中毒,一般为85%，但要具体情况根据中毒的轻重以及急救的时间来定。百草枯无法治愈，死亡率几乎100%
脑肝肾综合征,患者多在出生后3～6个月内死亡
浓缩胆汁综合征,65-70%
诺沃克类病毒胃肠炎,70%
粘连性肠梗阻,85%，手术治疗为主
囊性纤维化,属于遗传性疾病，目前还无法治愈
脾破裂,50%
葡萄球菌食物中毒,80%
硼酸中毒,95%
脾功能亢进,70%
脾-肝综合征,50%
Plummer-Vinson综合征,60%
贲门癌,1.3%
盆底痉挛综合症,60%
强酸、强碱中毒,68%
汽油、煤油中毒,90%
汽油中毒,97%
强碱类中毒,根据情况一般70%
驱蛔灵中毒,80-90%
缺血性结肠炎,60%
缺血性肝炎,60%
倾倒综合征,85%
脐膨出-巨舌-巨大躯体综合征,0.1%
铅中毒,97%
乳头状腺瘤,40%
热带口炎性腹泻,90%
瑞氏综合症,30%
杀虫脒中毒,70%
砷中毒,5-10%
水合氯醛中毒,50%
四氯化碳中毒,10--30%
嗜酸细胞性胃肠炎,80%
食管异物,99%
十二指肠先天性缺如、闭锁和狭窄,95%
十二指肠血管性压迫综合征,75%
神经性呕吐,70%
食管癌,75%
上消化道出血,90%
十二指肠憩室梗阻性黄疸综合征,治愈率87.6%
十二指肠壅积症,90%
神经型食物中毒,60%
食物中毒,97%
食管失弛缓症,82.3%
食管憩室,80%
食管破裂,70%
食管平滑肌瘤,85%
食管瘢痕性狭窄,70%
食管贲门粘膜撕裂综合征,100%
输入袢综合征,60%-70%
食管损伤,91%
石膏综合征,80%
十二指肠憩室,60-70%
十二指肠白点综合征,60%
神经性肠梗阻综合症,60%
杀鼠剂中毒,根据不同种类的鼠药，一般为20-50%
锑中毒,85%以上
铁中毒,85%
嗜酸性细胞胃肠炎,75%
特发性腹膜后纤维化,70%
铊中毒,10%
糖原累积症,0.2%
特发性非硬化性门脉高压综合征,50%
吞气症,80%
胃癌,按分期治愈率各有不同
无机磷中毒,60-70%
五氯酚钠中毒,80%
胃心综合征,85%
胃损伤,85%
胃下垂,80%
胃轻瘫综合征,40%
胃平滑肌肉瘤,40%
胃扭转,86%
胃空肠输入袢综合征,40%
胃节律紊乱综合征,90%
胃肠道外瘘,85%
胃、十二指肠溃疡急性穿孔,80%
胃、十二指肠溃疡出血,80%
胃肠型食物中毒,97.8%
胃泌素瘤,70%
胃肠食物不耐受症,70%
胃肠道功能紊乱,80%
胃粘膜脱垂症,60%
胃切除后胆汁返流性胃炎,75%
胃潴留,85%
胃病,60%
无胆色素尿性黄疸综合征,30%
吻合口溃疡,70%
Whipple病,30%
胃肠道伴癌综合征,外科手术治愈率约50%
戊型病毒性肝炎,70%
网膜肿瘤,45%
网膜原发性节段性梗死,75%
网膜炎,50%
网膜囊肿,70%
伪膜性肠炎,90%
胃息肉,90%
胃良性肿瘤,95%
小肠损伤,95%
小儿时期常见的呕吐,100%
先天性肠闭锁与狭窄,75%
先天性肠旋转异常,70%
蝎子螫伤,90%
锌中毒,95%
消化性溃疡,0.005%
先天性胆道闭锁,65%
消化道重复畸形,外科手术治愈率75%-85%
小肠系膜损伤,90%
新生儿胆红素脑病,治愈率84%
先天性肥厚性幽门狭窄,80%
小儿厌食症,80%
先天性巨结肠,70%
小儿呕吐,95%
小儿急性胆囊炎,96%
小肠瘘,70%
细菌性肝脓肿,80%
下消化道出血,60-80%
小儿消化性溃疡,97%
小肠吸收不良综合征,40%
小儿急性胰腺炎,99%
心源性肝硬化,30%
新生儿呕吐,95%
新生儿肝炎综合征,15%
溴中毒,20%
血吸虫肠病,75%-85%
吸收不良综合征,80%
心血管和血栓栓塞综合征,50%
消化道出血,78-95%
先天性食管闭锁,85%
消化系癌伴血液病综合征,
先天性梅毒性肝硬化,75%
血色病,40%
细菌性痢疾,95%
消化道憩室病,75%
先天性直肠肛门畸形,80%
小儿先天性巨结肠,97%
乙胺嘧啶中毒,70-80%
乙酰苯胺类中毒,80%
有机氯杀虫剂中毒,60-80%
幽门梗阻,60%
原发性肝内硬化综合征,50%
胰腺损伤,外科手术治愈率约为80%
胰腺脑病综合征,30--50%
胰腺假性囊肿,75%
药物性胃病,92%
原发性胆汁性肝硬化,85%
营养不良性肝硬化,30%
药物性肝硬化,10%
亚硝酸盐中毒,30%
银杏中毒,50%
药物性肝病,90%
乙肝,0%
异位ACTH综合征,75%
胰胆汁综合征,60%
胰胆管合流异常综合征,手术治愈率约80%
原发性腹膜后肿瘤,40%
鱼肝中毒,98%
鱼胆中毒,50%
原发性肝癌,30%
真菌性食物中毒,70-80%
真菌中毒症,50%
直肠损伤,80%
脂肪肝,90%
致死性肝内胆汁淤积综合征,50%
Zieve综合征,30%
肿瘤性息肉,96%
直肠脱垂,80%
紫绀-杵状指-肝病综合征,75%
早孕反应,95%
自发性食管破裂,60-70%
卓－艾氏综合征,外科手术治愈率约为70-80%
真菌性肠炎,75%-85%
巴特综合征,55%
成人多囊肾,70%
产褥感染,85%
常染色体显性多囊肾,肾移植治愈率约为40%
多囊肾,75%
等渗性脱水,95%
低渗性脱水,99%
低钾血症,80%
儿童遗尿症,85%
恶性高血压性小动脉性肾硬化,60%
非特异性尿道炎,90%
非IgA系膜增生性肾炎,80%
非淋菌性尿道炎,95%
高渗性脱水,85%
梗阻性尿路疾病,85%
高血压肾病,45%
肝源性肾损害,75%
高钾血症,80%
间质性膀胱炎,90%
急性风湿热肾损害,60%
急性肾盂肾炎,85%
急性肾功能衰竭,50%
急性肾小管坏死,80%
间质性肾炎,85%
急进性肾炎,50%
近端(Ⅱ型)肾小管性酸中毒,40%
急性肾炎,80%
急性肾小管间质性肾炎,85%
急性肾炎综合征,85%
局灶性肾小球硬化症,80%
良性高血压性小动脉性肾硬化,是不能治愈的疾病，必须长期服用药物
流行性出血热,60%
狼疮性肾炎,70%
链球菌感染后的急性肾小球肾炎,20%
类风湿性关节炎肾损害,30%-40%
慢性呼吸衰竭,65%
免疫介导性肾脏病,75%
慢性肾功能衰竭,10%
膜性肾小球肾炎,40-50%
慢性肾盂肾炎,70%
慢性肾炎,5%
尿路真菌感染,90%
尿失禁,60%
尿道炎,95%
尿崩症,60%
尿道结石,80%
钠过多,95%
尿路感染,90%
膀胱炎,90%
膀胱颈挛缩,30%
膀胱癌,95%
溶血尿毒综合征,70%
肾前性肾功能衰竭,70%
肾结核对侧肾积水,60%
肾及输尿管重复畸形,75%
神经源性膀胱,85%
输尿管损伤,70%
肾发育不全,80%
肾积水,80%
肾硬化症,85%
肾及输尿管结石,97%
肾结核,10%
肾病综合征,20%
肾下垂,50%-70%
肾石症,99.3%
肾血管性高血压,20%，多以控制血压为主
双侧先天性肾上腺皮质增生,80%
肾上腺皮质功能减退症,70%
水过多,90%
烧伤后急性肾功能衰竭,86%
肾脏损伤,60-80%
肾动脉粥样栓塞,75%(外科手术治疗)
肾囊肿,70%
肾细胞癌,60%
肾盂肾炎,45%
肾小管性酸中毒,60%
肾动脉闭塞,75%
蹄铁形肾,手术矫正，20-40%治愈率
特异性肾实质疾病,40%
糖尿病肾病,0.02%
微小病变性肾病,80%
血尿,95%(一般经过有效治疗95%可以治愈)
小儿原发性肾病综合征,75%-85%
小儿尿感,80%
小儿慢性肾功能衰竭,60%
小儿急性肾功能衰竭,30%
小儿肾小管性酸中毒,60%
婴幼儿阴道炎,100%
阴茎纤维性海绵体炎,89%
遗尿症,80%
原发性小血管炎性肾损害,40%
原发性IgA肾病,需要终身治疗，目前不能治愈
隐匿性肾小球肾炎,50%
中毒性肾病,40%
紫癜性肾炎,80%
癌性神经肌病,10%
阿尔茨海默病,10%以下
安眠药中毒,20%
阿片中毒,70%-80%
臂丛神经痛,85%
Creutzfeldt-Jakob病,80%以上的病人于起病后1年内死亡，少数拖延达2年以上
痴呆综合征,35%
纯植物神经功能衰竭,30%
丛集性头痛,
多发性硬化,45%
动眼、滑车及外展神经疾病,60%
多发性神经炎,40%
多发性末梢神经炎,90%
短暂性脑缺血发作,60%
大便失禁,30%
儿童学习能力障碍,75%
儿童口吃,70%
耳源性脑脓肿,70%
风湿性舞蹈病,75%
腓总神经损害,60%
吩噻嗪类抗精神病药物中毒,60%-75%
膈肌麻痹,60%
格林－巴利综合征,50-70%
肝豆状核变性,20%
海绵窦血栓,60%
昏迷,80%
昏厥,90%
颈椎病,50%
僵人综合征,10%
急性脊髓炎,70%
脊髓压迫症,60%
延髓进行性麻痹,15%
结节性硬化病,40%
脊髓亚急性联合变性,70%
脊髓血管病,40%-60%
紧张性头痛,98%
脊神经根炎,30%-50%
酒精中毒,78%
急性中毒性脑炎,10%
老年痴呆,0%
雷诺综合征,60%
老年眩晕,65%
老年性耳聋,0.0001%
淋巴细胞脉络丛脑膜炎,90%以上，偶有死亡病例，部分遗留神经系统症状
末梢神经炎,90%
慢性进行性舞蹈病,74%
麻痹性臂丛神经炎,40-50%，以对症治疗为主
面神经炎,90%
脑出血,81%
脑血栓,70%
脑肺吸虫病,50%
脑动脉硬化症,70%
脑脓肿,85%
脑梗塞,30%
脑性瘫痪综合征,无法治愈
皮肌炎,75%
偏头痛,70-90%
帕金森病,0.1%
氰化物中毒,40%
全植物神经功能不全,70%
前庭神经炎,60%
桡神经麻痹,30-40%
上矢状窦血栓性静脉炎,65%
三环类抗忧郁药中毒,60%
肾上腺素中毒,70%
士的宁中毒,50%
神经系统的放射性损伤,40%
手足徐动症,20-30%
视神经炎,80%
视神经萎缩,20%
神经症,90%
Shy-Drager综合征,60%
头-面血管瘤综合征,65%
舌咽神经痛,85%
视束病变,10%
神经鞘瘤,60%
神经衰弱,20%
神经梅毒,80%
糖尿病性神经病,20%
头痛,90%
羰基镍中毒,75%
位置性眩晕,40-60%，以药物控制症状为主
小儿结核性脑膜炎,60%
溴氯菊酯中毒,80%
小舞蹈病,80%
新生儿惊厥,99%
小儿脑瘫,40%
运动神经元疾病,预后与不同年龄和疾病类型有关，总体预后差
意识障碍,60%
有机磷农药中毒,70%
晕厥,90%
咽肌麻痹,95%
遗传性共济失调,65%
运动神经元病,60%-70%
晕动病,80%
咽部神经鞘膜瘤,50%
压迫性视神经病变,60%
正中神经损伤,80%
躁狂症,65%
中枢神经兴奋药中毒,80%
镇静、安定、催眠药中毒,75%
直立性低血压,70%
植物神经功能紊乱,79%
周期性麻痹,60-70%
重症肌无力危象,40%
重症肌无力,20%-30%
枕大神经痛,70%
蛛网膜炎,65%
周期性瘫痪,60%
周围神经病损,65%
ADH分泌过多综合征,85%(多以控制症状为主)
闭经,75%
垂体瘤,70%
成人全垂体功能减退,60%
垂体危象与垂体卒中,25%
垂体前叶机能减退症,30%
垂体性矮小病,58%
单纯性甲状腺肿,75%
多囊卵巢综合征,80-90%
单纯性肥胖,60%
多腺体缺陷综合征,30%，多以对症治疗为主
多发性内分泌肿瘤综合征Ⅰ型,50%
低血糖症,75%
代谢性碱中毒,80%
代谢性酸中毒,98%
儿童睡眠障碍,90%
肥胖症,80%
高渗性非酮症性糖尿病昏迷,40%
高血脂,60%
骨质疏松,50%
Graves病,80%
黄瘤,95%
呼吸性碱中毒,80%
呼吸性酸中毒,90%
甲状腺功能减退,80%
甲状腺功能正常的甲状腺肿大,60%
静止性淋巴细胞性甲状腺炎,85%
甲状腺腺瘤,65%
甲状腺舌管囊肿与瘘,91%
继发性肾上腺功能不足,30%
急性颌下腺炎,68%
急性乳腺炎,95%
急性淋巴结炎,95%
假性甲状旁腺功能减退症,30%
继发性甲状旁腺功能亢进症,80%
脚气病,95%
巨人症及肢端肥大症,60%
基底细胞腺瘤,60%
颈部淋巴结结核,73%
库欣综合征,60%
克兰费尔特综合征,80%
慢性淋巴细胞性甲状腺炎,65%
泌乳素瘤,80%
慢性淋巴结炎,70%
男性乳房肥大症,78%
男性生殖腺机能减退症,60%
粘多糖沉积病,10%
男子乳房发育症,70%
内分泌性眼球突出,60%
皮脂腺痣,70%
气管支气管异物,90%
雀斑,70%
乳腺增生,40%-50%
乳腺癌,20%(手术治疗)
乳溢,99%
乳头状囊腺癌,55%
肾上腺危象,85%
舌扁平苔藓,90%
松果体瘤,20--40%
嗜酸性腺瘤,75%
嗜铬细胞瘤,80%
糖尿病乳酸性酸中毒,20%
糖尿病酮症酸中毒,85%
糖尿病足,40%
维生素C缺乏病,90%
维生素D中毒症,60%
维生素E缺乏病,60%
外科皮脂腺囊肿,90%
外科淋巴管瘤,40-60%
新生儿低血糖症与高血糖症,85%
涎瘘,70%
胸腺瘤,外科手术治愈率约为65%
血卟啉病,30-50%，多以控制症状治疗为主
涎腺病毒病,90%
涎石病,80%
下丘脑疾病,75%
性变态,60%-80%
腺样体肥大,约为30%
涎腺囊肿,50--70%
腺泡细胞癌,20%
涎腺的未分化癌,外科手术治愈率约为50%
涎腺结核,65%
腺样囊性癌,56%
腺淋巴瘤,70%
涎腺混合瘤,60%
亚急性甲状腺炎,治愈率81%
原发性醛固酮增多症,60%
c胰岛功能性β细胞瘤,60%
胰岛素瘤,70%
原发性甲状旁腺功能亢进症,80%
溢乳闭经综合征,80%
白细胞减少症和粒细胞缺乏症,70-80%
白血病,50%-70%
白血病性咽峡炎,68%
出血性疾病,70%
单纯红细胞再障性贫血,60%
低钙血症和低镁血症,85%
地中海贫血,30--60%
多发性骨髓瘤,40%
恶性组织细胞病,70%
恶性淋巴瘤,30-40%
非酮症高血糖-高渗性昏迷,50%
复合型酸碱失衡,85%
骨髓痨性贫血,60%
骨髓纤维化,
骨髓增生异常综合征,45%
过敏性紫癜,90%
何杰金病,2%
获得性血小板功能障碍,65%
获得性循坏抗凝物质增多综合征,75%
化脓性骨髓炎,70%
霍奇金淋巴瘤,75%
菌血症,86%
巨球蛋白血症,50%
急性白血病,45%
巨幼细胞性贫血,80%
急性淋巴细胞性白血病,45%
淋巴细胞减少症,这个一般治愈率在90%以上
镰状细胞病,无法根治
类白血病反应,60%
粒细胞缺乏症,85%
绿色瘤,40-50%
镁过多症,80%
镁缺乏症,70%
慢性疾病的贫血,80%
弥散性血管内凝血,70%
慢性骨髓炎,30-40%
慢性粒细胞性白血病,30%
慢性淋巴细胞性白血病,55%
尿道上裂,50%
充血性脾肿大,70%
贫血,60--80%
破伤风,50%
脾功能亢进症,80%
葡萄糖-6-磷酸脱氢酶缺乏症,30%
缺铁性贫血,95%
溶血过度所致贫血,50%
溶血性贫血,75%
失血性休克,休克早期，治愈率90%以上，休克晚期治愈率30%以下
嗜酸性细胞增多症,80%
特发性高嗜酸性细胞综合征,40%，多以控制症状治疗为主
特发性血小板减少性紫癜,85%
铁利用性贫血,40%
维生素K缺乏病,95%
维生素B12缺乏所致贫血,85%
小儿过敏性紫瘢,80%
血栓性血小板减少性紫癜,85%
血小板减少症,85%
血友病,10%
新生儿败血症,80%
新生儿溶血病,50%
血管母细胞瘤,75%
先天性红细胞膜病,85%
血管性血友病,40%
遗传性血色病,对症治疗为主，无法根治
叶酸缺乏所致贫血,90%
遗传性出血性毛细血管扩张症,80%
营养性巨幼红细胞性贫血,80%
原发性血小板减少性紫瘢,60%
原发性血小板增多症,40%
异常血红蛋白病,40%
中性白(粒)细胞减少症,10%
组织细胞增殖症,65%
再生障碍性贫血,70%
自身免疫性溶血性贫血,75%
真性红细胞增多症,85%
阵发性睡眠性血红蛋白尿,75%
白塞综合征,90%
白塞病,90%
Behcet病,85%
迟发性低丙球血症,65%
常年性鼻炎,40%
多发性大动脉炎,70%
多发性肌炎,60%
大骨节病,70%
淀粉样变病,80%
二水焦磷酸钙结晶沉积症,70%
风湿性多肌痛,70%
肥大细胞增多症,70%
过敏性哮喘,30%
高尿酸血症,40%
干燥综合征,80%
骨关节炎,70%
