肺泡蛋白质沉积症,约3个月
休克,根据不同的原发病以及休克的不同时期而明显不同
新生儿缺氧缺血性脑病,2-3周
新生儿硬肿症,2周
血管瘤,3-6月
先天性风疹,2-4周
血栓闭塞性脉管炎,2-4周
胸降主动脉动脉瘤,2-4个月
胸主动脉夹层动脉瘤,1-3个月
心脏神经官能症,1-3个月
心内膜弹性纤维增生症,30天
心绞痛,1-7天
心肌梗塞并发心室间隔穿破,4-8周
心肌梗塞并发二尖瓣关闭不全,1-2月
心肌梗死,7-10天
心功能障碍,2-3个月
心包囊肿,2-4周
小儿高血压,原发性高血压，需要长期服药
小儿充血性心力衰竭,4-6周
心肌梗塞并发左心室室壁瘤,3-5月
先天性主动脉缩窄,2-4周
先天性主动脉弓畸形,1-2月
先天性主动脉瓣下狭窄,1-3个月
先天性主动脉瓣上狭窄,1-3个月
先天性动脉导管未闭,1个月
先天性动静脉瘘,2-4月
先天性二尖瓣畸形,3个月
心包积液,3个月
心肌病,1-2年
心律失常,2-4周
限制型心肌病,终身间歇性治疗
心房扑动与心房颤动,2-4周
心室内传导阻滞,1-3个月
先天性主动脉瓣窦动脉瘤破裂,3个月
心包肿瘤,4-8周
血管运动性鼻炎,两周
胸腔积液,3个月
心肌炎,6个月
心脏内粘液瘤,2-4周
心室间隔缺损,2周到3周左右
羊水过多,2-4周
原发性下肢静脉瓣膜关闭不全,3-6个月
亚急性感染性心内膜炎,至少四周
乙状窦血栓性静脉炎,10-30天
左心室双出口,1-3个月
左心发育不良,3-5个月
自发性血胸,1-2周
主-肺动脉隔缺损,1个月
主动脉夹层,1-3个月
主动脉瓣狭窄合并关闭不全,3-5月
主动脉瓣膜部狭窄,1-3个月
阵发性室上性心动过速,2-4月
早搏,2个月
主动脉瘤,10-30天
主动脉瓣狭窄,1个月
主动脉瓣关闭不全,1-2个月
阵发性室性心动过速,终身用药
中暑衰竭,7--14天
阿米巴肝脓肿,10-30天
氨基甲酸酯类农药中毒,根据不同病情一般2-3个月
阿米巴肠病,1-2个月
阿片类药物中毒,根据情况一般1-7天
柏-查综合征,1-3个月
Brenneman综合征,4-6周
巴瑞特综合征,3个月
半乳糖血症,长期
暴发性肝功能衰竭,2-4周
鞭虫病,1-3月
布卡综合症,3个月
暴发性肝炎样综合征,4-8个月
便秘,30-60天
吡唑酮类中毒,3个月
Barrett食管,1-2年
贲门失弛缓症,7-10天
钡中毒,1-3个月
变形杆菌食物中毒,2-4周
蓖麻子中毒,2-4周
铋中毒,2--5周
丙型病毒性肝炎,需要终身治疗
肠病性肢皮炎综合征,终身间歇性治疗
肠道菌群失调症,1-3周
肠扭转综合征,1-2个月
肠气肿综合征,7-10天
肠系膜淋巴结结核,12个月
肠系膜上动脉压迫综合征,3个月
粗制棉子油中毒,2-5周
肠扭转,7-10天
肠套叠,2-4周
肠间脓肿,2个月
残胃癌,1-3个月
残窦综合征,8-12周
肠易激综合征,1-2个月
肠梗阻,7-14天
苍耳中毒,1-3天
肠道病毒所致各系统感染,3个月
肠系膜上动脉栓塞,2周至一个月
肠道气囊肿症,1-3个月
餐后血糖过低症,8-12周
肠结核,12个月
肠系膜上静脉血栓形成,2-4月
大网膜扭转,2-4周
胆道运动功能障碍综合征,3-6周
胆道张力低下综合征,1年
胆囊管综合征,8-12周
胆石性肠绞塞综合征,1—3个月
胆汁淤积性黄疸,3个月
第五日综合征,1-2周
蛋白丧失胃肠综合征,1-3个月
胆囊-结肠肝曲粘连综合征,10-30天
胆石症,30天
胆囊切除术后综合征,1-3个月
大肠息肉,1-2周
多发性消化道息肉综合征,20-40天
大肠梗阻,7天-1个月
胆汁性肝硬化,3个月
丁型病毒性肝炎,取决于乙肝和其他嗜肝DNA病毒，需要长期治疗
胆汁返流性胃炎,2-4周
胆管癌,8-12周
大肠类癌,2-4月
毒蕈中毒,根据不同病情，一般为2-4周
敌鼠中毒,根据不同病情，一般为2-4周
大肠癌,3-6个月
大肠恶性淋巴瘤,1-3个月
Ehler-Danlos综合征,3个月
儿童胰腺功能不全并中性粒细胞减少症综合征,8-12周
儿童腹痛,3--7天
呃逆症,1-7天
非溃疡消化不良,2-4周
分流性高胆红素血症综合征,1-3个月
粪类圆线虫病,2-4个月
腹肌缺如综合征,1-2个月
腹绞痛综合征,1-3周
腹膜后感染与脓肿,1-3月
腹膜后间隙出血,1-2个月
腹膜后淋巴结炎,治疗周期14天
腹膜后腔液体渗病,1个月
腹膜后疝,1-3周
腹膜间皮瘤,1-3月
腹腔动脉压迫综合征,3-6个月
腹型癫痫综合征,3个月
腹型偏头痛综合征,1-3年
腹主动脉血栓形成综合征,30天
腹卒中综合征,8-12周
Felty综合征,2-4个月
腹痛,7-10天
腹膜炎,2周-2个月
腹泻,1-2周
反流性食管炎,1-3个月
沙门氏菌属食物中毒,5-10天
放射性肠炎,7天
福尔马林中毒,正规治疗周期20天
发芽马铃薯中毒,根据病情一般15天到1个月
副溶血性弧菌食物中毒,4-8周
非寄生虫性肝囊肿,1-3月
非酒精性脂肪性肝病,3-6个月
非霍乱弧菌感染,1-2个周
肛门闭锁,2-4个月
高锰酸钾中毒,3-7周
肝-甲状腺综合征,3--8周
肝纤维化,6个月
肝肺综合症,1-3个月
Gardner综合征,2--7周
功能性呕吐,7--10天
肝性脊髓病,一般周期3-6月
肝炎双重感染,慢性乙肝需要长达数年抗病毒治疗
肝炎后综合征,30天
膈膨出和麻痹,2个月
肝性脑病,1-3个月
肝硬化,需终身治疗
肝脓肿,1-3月
功能性消化不良,21天
钩虫病,10-20天
肝腺瘤,一个月
肝外胆管损伤,3-6月
肝损伤,7-21天
肝囊肿,1-3个月
肝包虫囊肿,30天
膈下脓肿,2-4月
肝血管瘤,1月
钩虫性十二指肠炎综合征,1-2个月
膈先天性缺损,1-2年，可能需要多次修补
膈疝,7-10天
肛管、直肠、结肠狭窄,2--6周
膈扑动,2-4周
含亚硝酸盐类植物性食物中毒,1个月
化脓性汗腺炎,1-3个月
回盲瓣综合征,3个月
活动盲肠综合征,2-4周
横膈下结肠嵌入综合征,1-3个月
黄疸,14天
黑色素斑-胃肠多发性息肉综合征,2-3月
蛔虫病,1-2个周
霍乱样综合征,3-7天
结、直肠黑变病,1-2年
结肠粪性穿孔,2-4个月
结肠憩室病,10-14天
甲醇中毒,根据不同病情，一般是3-6周
局部麻醉药中毒,1周
结核性腹膜炎,2年
急性胃扩张,5-10天
急性化脓性胆管炎,2-3周
急性出血性坏死性肠炎,7-14天
结肠闭锁,10-15天
结肠直肠损伤,2-4月
结核性肠系膜淋巴结炎,3-7周
结肠扭转,1个月
结肠瘘,3个月-1年
结肠癌,1-3个月
急性胃粘膜病变,30天
急性腐蚀性胃炎,2-4周
急性单纯性胃炎,1-2周
假膜性肠炎,10天或更长时间
家族性结肠息肉,1个月
急性腹膜炎,7-14天
酒精性肝病,3-6月
甲型肝炎,3-6周
急性胃肠炎,7天
结肠息肉,手术治疗周期5-14天
急性胃炎,1-2周
急性阑尾炎,1-6周
巨膀胱-小结肠-肠蠕动不良综合征,1-3个月
结缔组织性肠炎,1-2个月
急性腹型-高脂血症综合征,需长期低脂饮食
Turcot综合征,4周
急性结肠假性梗阻综合征,2-4周
急性胆囊炎,7-14天
吉尔伯特综合征,4-8周
结石性胆囊炎,2-4周
急性胰腺炎,轻症1-2周，重症者2-6周
结肠损伤,1个月
可拉明中毒,3-6周
奎宁中毒,1-3个月
克罗恩病,3个月-5年
α1-抗胰蛋白酶缺乏症,终身治疗
溃疡性结肠炎,2-4周
磷中毒,30天
轮状病毒所致胃肠炎,7-14天
类癌,2--6周
氯丙嗪类中毒,2-4周
氯喹中毒,2-3个月
淋菌性肛门直肠炎,3-6周
阑尾寄生虫病,2-3周
轮状病毒性肠炎,2-4周
良性阵发性腹膜炎综合征,2-3年
痢疾后综合症,2-4周
蓝色橡皮泡痣综合症,2-4周
老年急性阑尾炎,7-15天
淋巴结-胆道综合征,1-3个月
郎-奥韦综合征,2-3个月
旅游者腹泻,4--7天
慢性胰腺炎,2-4周
Milk-Alkali综合征,1-2个月
麦胶性肠病,1-3月
慢性溃疡性结肠炎,1-10年
弥漫性食管痉挛,2-4周
慢性胃炎,1-3月
毛石肠梗阻综合征,1-3月
盲袢综合征,1-2个月
尼曼－匹克氏病,1--6个月
农药中毒,根据不同情况，一般为1-3个月
脑肝肾综合征,3-4月
浓缩胆汁综合征,1-3个月
诺沃克类病毒胃肠炎,1-3个月
粘连性肠梗阻,1-2个月
囊性纤维化,需要长期综合治疗
脾破裂,2-4周
葡萄球菌食物中毒,1-2周
硼酸中毒,3-6周
脾功能亢进,2-4个月
脾-肝综合征,3个月
Plummer-Vinson综合征,2-5月
贲门癌,1-2个月
盆底痉挛综合症,10-30天
强酸、强碱中毒,6-12周
汽油、煤油中毒,根据情况一般1-3周
汽油中毒,根据病情一般为1-2周
强碱类中毒,根据不同病情一般4-8周
驱蛔灵中毒,1-2周
缺血性结肠炎,7-21天
缺血性肝炎,30天
倾倒综合征,1-3个月
脐膨出-巨舌-巨大躯体综合征,1-3个月
铅中毒,1-6月
乳头状腺瘤,1年
热带口炎性腹泻,半年-1年或更长时间
瑞氏综合症,3个月
杀虫脒中毒,2-4周
砷中毒,根据不同情况，一般为15--30天
水合氯醛中毒,1-3周
四氯化碳中毒,2--4周
嗜酸细胞性胃肠炎,3-6个月
食管异物,1周
十二指肠先天性缺如、闭锁和狭窄,10-30天
十二指肠血管性压迫综合征,3-6个月
神经性呕吐,10-15天
食管癌,1-3个月
上消化道出血,1-3个月（病因及病情不同，治疗周期不同）
十二指肠憩室梗阻性黄疸综合征,手术治疗周期14天
十二指肠壅积症,2-4月
神经型食物中毒,2-4周
食物中毒,7天
食管失弛缓症,14天
食管憩室,2-4周
食管破裂,2--4周
食管平滑肌瘤,1-2个月
食管瘢痕性狭窄,2-4个月
食管贲门粘膜撕裂综合征,1-4周
输入袢综合征,1-3个月
食管损伤,14天
石膏综合征,1个月
十二指肠憩室,1个月
十二指肠白点综合征,2-4周
神经性肠梗阻综合症,3-7天
杀鼠剂中毒,根据病情，一般为7-21天
锑中毒,2-4周
铁中毒,2-4周
嗜酸性细胞胃肠炎,3个月
特发性腹膜后纤维化,3个月
铊中毒,1--6个月
糖原累积症,3个月或更长
特发性非硬化性门脉高压综合征,3个月
吞气症,2-4周
胃癌,术后化疗一般6个周期，晚期胃癌化疗加中药辅助加支持治疗，靶向药物治疗。
无机磷中毒,1-2周
五氯酚钠中毒,1-2周
胃心综合征,8-12周
胃损伤,1-3个月
胃下垂,1-3个月
胃轻瘫综合征,1-3个月
胃平滑肌肉瘤,1个月
胃扭转,2-4周
胃空肠输入袢综合征,2个月
胃节律紊乱综合征,1个月
胃肠道外瘘,1-3月
胃、十二指肠溃疡急性穿孔,3-6周
胃、十二指肠溃疡出血,2-4周
胃肠型食物中毒,7天
胃泌素瘤,手术后8-12周可出院，需终身服药治疗
胃肠食物不耐受症,1-2个月
胃肠道功能紊乱,2-4周
胃粘膜脱垂症,30天
胃切除后胆汁返流性胃炎,8-12周
胃潴留,2-5周
胃病,1-3个月，有些需持续药物治疗
无胆色素尿性黄疸综合征,1-3个月
吻合口溃疡,3个月
Whipple病,3-6个月
胃肠道伴癌综合征,3-6个月
戊型病毒性肝炎,1-2个月
网膜肿瘤,3-6个月，恶性者需长期服药
网膜原发性节段性梗死,10-30天
网膜炎,1-3个月
网膜囊肿,3-6月
伪膜性肠炎,3-6周
胃息肉,3-6周
胃良性肿瘤,1-3个月
小肠损伤,3-7周
小儿时期常见的呕吐,2-3周
先天性肠闭锁与狭窄,2-4个月
先天性肠旋转异常,3--8周
蝎子螫伤,1-2周
锌中毒,2-4月
消化性溃疡,需持续服药
先天性胆道闭锁,1个月
消化道重复畸形,1-3个月
小肠系膜损伤,1-3个月
新生儿胆红素脑病,治疗周期14天
先天性肥厚性幽门狭窄,1-3个月
小儿厌食症,10-30天
先天性巨结肠,1-3个月
小儿呕吐,5-30天
小儿急性胆囊炎,3-5周
小肠瘘,7-14天
细菌性肝脓肿,30天
下消化道出血,1-3个月
小儿消化性溃疡,2-4周
小肠吸收不良综合征,3个月
小儿急性胰腺炎,2-4周
心源性肝硬化,3个月
新生儿呕吐,1-2周
新生儿肝炎综合征,需要终身治疗
溴中毒,2--8周
血吸虫肠病,1-3个月
吸收不良综合征,10-30天
心血管和血栓栓塞综合征,1个月
消化道出血,2-4个月
先天性食管闭锁,2-4周
消化系癌伴血液病综合征,终身间歇性对症治疗
先天性梅毒性肝硬化,需长期服药治疗
血色病,3个月
细菌性痢疾,7-14天
消化道憩室病,3-4个月
先天性直肠肛门畸形,2-4周
小儿先天性巨结肠,14天
乙胺嘧啶中毒,8-12周
乙酰苯胺类中毒,1-3月
有机氯杀虫剂中毒,1-2周
幽门梗阻,轻者药物治疗7天，重者有效手术药物治疗30天左右
原发性肝内硬化综合征,1-3个月
胰腺损伤,4-6周
胰腺脑病综合征,3--6个月
胰腺假性囊肿,3-5周
药物性胃病,14天
原发性胆汁性肝硬化,3-6个月
营养不良性肝硬化,1-6个月
药物性肝硬化,2-6周
亚硝酸盐中毒,1-7天
银杏中毒,21--30天
药物性肝病,1-3个月
乙肝,需长期服药治疗
异位ACTH综合征,3-6月
胰胆汁综合征,1-3个月
胰胆管合流异常综合征,3-6个周
原发性腹膜后肿瘤,3个月
鱼肝中毒,2-3周
鱼胆中毒,7-21天
原发性肝癌,需要终身治疗
真菌性食物中毒,7-21天
真菌中毒症,2个月
直肠损伤,3-5周
脂肪肝,3-6个月
致死性肝内胆汁淤积综合征,1-2个月
Zieve综合征,3个月
肿瘤性息肉,3-6周
直肠脱垂,1-3个月
紫绀-杵状指-肝病综合征,30天
早孕反应,7-14天
自发性食管破裂,2-4周
卓－艾氏综合征,1-3个月
真菌性肠炎,3-6个月
巴特综合征,1-2年
成人多囊肾,1-2个月
产褥感染,1-2周
常染色体显性多囊肾,如果不进行肾移植，需终身间歇性治疗
多囊肾,15-45天
等渗性脱水,1周
低渗性脱水,7天
低钾血症,2-4周
儿童遗尿症,3-6个月
恶性高血压性小动脉性肾硬化,3个月
非特异性尿道炎,7-21天
非IgA系膜增生性肾炎,1-3个月
非淋菌性尿道炎,2-4周
高渗性脱水,3-7周
梗阻性尿路疾病,3-6周
高血压肾病,需终身服药治疗
肝源性肾损害,3个月
高钾血症,3-7天
间质性膀胱炎,5周
急性风湿热肾损害,2-4周
急性肾盂肾炎,4-8周
急性肾功能衰竭,2-8周
急性肾小管坏死,1个月
间质性肾炎,3-6个月
急进性肾炎,1-3个月
近端(Ⅱ型)肾小管性酸中毒,需长期服药治疗
急性肾炎,10-30天
急性肾小管间质性肾炎,2-4周
急性肾炎综合征,4-8周
局灶性肾小球硬化症,2-4个月
良性高血压性小动脉性肾硬化,长期服药
流行性出血热,1-3个月
狼疮性肾炎,需终身服药治疗
链球菌感染后的急性肾小球肾炎,1-2个月
类风湿性关节炎肾损害,需长期服药治疗
慢性呼吸衰竭,24天-50天，需长期服药治疗
免疫介导性肾脏病,2-4月
慢性肾功能衰竭,需长期服药治疗
膜性肾小球肾炎,需长期服药治疗
慢性肾盂肾炎,需长期服药治疗
慢性肾炎,需长期服药治疗
尿路真菌感染,20天
尿失禁,7--10天
尿道炎,15-30天
尿崩症,终身间歇性对症治疗
尿道结石,2-4周
钠过多,3-6周
尿路感染,2-4周
膀胱炎,3-14天
膀胱颈挛缩,7-14天
膀胱癌,需要终身治疗
溶血尿毒综合征,1-3个月
肾前性肾功能衰竭,1-3月
肾结核对侧肾积水,1-3个月
肾及输尿管重复畸形,2-4月
神经源性膀胱,2-4月
输尿管损伤,7-14天
肾发育不全,1-3个月
肾积水,7-21天
肾硬化症,1-3个月
肾及输尿管结石,7天
肾结核,需长期服药治疗
肾病综合征,需长期服药治疗
肾下垂,14-30天
肾石症,7天
肾血管性高血压,3-6个月
双侧先天性肾上腺皮质增生,2-4周
肾上腺皮质功能减退症,1-3个月
水过多,1-2周
烧伤后急性肾功能衰竭,1-2个月
肾脏损伤,1-2个月
肾动脉粥样栓塞,2-3个月
肾囊肿,1-3个月
肾细胞癌,1-3个月
肾盂肾炎,需长期服药治疗
肾小管性酸中毒,7-14天
肾动脉闭塞,2-5个月
蹄铁形肾,1-3年
特异性肾实质疾病,1-3个月
糖尿病肾病,需要终身治疗
微小病变性肾病,3个月
血尿,7-14天
小儿原发性肾病综合征,3-6个月
小儿尿感,7-14天
小儿慢性肾功能衰竭,需长期服药治疗
小儿急性肾功能衰竭,3-6个月
小儿肾小管性酸中毒,3-7天
婴幼儿阴道炎,7天
阴茎纤维性海绵体炎,30天
遗尿症,3-6个月
原发性小血管炎性肾损害,10-30天
原发性IgA肾病,需要终身治疗
隐匿性肾小球肾炎,3-5年
中毒性肾病,1-3个月
紫癜性肾炎,2-3月
癌性神经肌病,1-2个月
阿尔茨海默病,终身治疗
安眠药中毒,2-4个月
阿片中毒,1-3个月
臂丛神经痛,2-4月
Creutzfeldt-Jakob病,目前本病并无特异治疗
痴呆综合征,1年以上
纯植物神经功能衰竭,3--8周
丛集性头痛,终身间歇性对症治疗
多发性硬化,2-3年
动眼、滑车及外展神经疾病,1-3个月
多发性神经炎,1个月
多发性末梢神经炎,1-3个月
短暂性脑缺血发作,需终身治疗
大便失禁,4-5个月
儿童学习能力障碍,1-3年
儿童口吃,3个月
耳源性脑脓肿,10-30天
风湿性舞蹈病,需长期服药治疗
腓总神经损害,2-4周
吩噻嗪类抗精神病药物中毒,4-8周
膈肌麻痹,2-4周
格林－巴利综合征,3-6个月
肝豆状核变性,1-3个月
海绵窦血栓,2个月
昏迷,1-7天
昏厥,1天
颈椎病,3-6个月
僵人综合征,1-3个月
急性脊髓炎,1-3个月
脊髓压迫症,3-6个月
延髓进行性麻痹,终身间歇性治疗
结节性硬化病,3个月
脊髓亚急性联合变性,2个月
脊髓血管病,1-3个月
紧张性头痛,需长期服药治疗
脊神经根炎,3-6周
酒精中毒,3-7天
急性中毒性脑炎,2-4周
老年痴呆,终身间歇性对症治疗
雷诺综合征,1-3个月
老年眩晕,4-8周
老年性耳聋,需要终身治疗
淋巴细胞脉络丛脑膜炎,6-12个月
末梢神经炎,1-2个月
慢性进行性舞蹈病,1-3个月
麻痹性臂丛神经炎,1-3年
面神经炎,10-14天
脑出血,2-4周
脑血栓,3-5个月
脑肺吸虫病,3个月
脑动脉硬化症,3-6周
脑脓肿,1-3个月
脑梗塞,1-2个月
脑性瘫痪综合征,终身治疗
皮肌炎,4-8周
偏头痛,10-21天
帕金森病,1-3个月
氰化物中毒,根据不同病情一般2-3个月
全植物神经功能不全,1-2年
前庭神经炎,2-4周
桡神经麻痹,120天
上矢状窦血栓性静脉炎,2-4月
三环类抗忧郁药中毒,14--21天
肾上腺素中毒,1-7天
士的宁中毒,1-2周
神经系统的放射性损伤,1-3个月
手足徐动症,终身用药治疗
视神经炎,1-2个月
视神经萎缩,2-4个月
神经症,1-3个月
Shy-Drager综合征,2--8周
头-面血管瘤综合征,3个月
舌咽神经痛,3-6周
视束病变,1-2个月
神经鞘瘤,2-3周
神经衰弱,3个月
神经梅毒,3-6月
糖尿病性神经病,1-3个月
头痛,7天
羰基镍中毒,2--10周
位置性眩晕,1-2年
小儿结核性脑膜炎,3个月
溴氯菊酯中毒,7--14天
小舞蹈病,1个月
新生儿惊厥,3-6个月
小儿脑瘫,6~12个月
运动神经元疾病,5年
意识障碍,1-30天
有机磷农药中毒,1-3天
晕厥,1-3周
咽肌麻痹,2-4周
遗传性共济失调,1-3个月
运动神经元病,1-3个月
晕动病,10-30天
咽部神经鞘膜瘤,7-30天
压迫性视神经病变,2-4周
正中神经损伤,6个月
躁狂症,一般1-3个月，有些需持续药物治疗
中枢神经兴奋药中毒,2周
镇静、安定、催眠药中毒,2周
直立性低血压,1-3周
植物神经功能紊乱,1年
周期性麻痹,4-8周
重症肌无力危象,3个月
重症肌无力,2-6个月
枕大神经痛,1-2个月
蛛网膜炎,3--10周
周期性瘫痪,10-30天
周围神经病损,1-3月
ADH分泌过多综合征,3-6个月
闭经,2-4个月
垂体瘤,一个月
成人全垂体功能减退,1-3个月
垂体危象与垂体卒中,1-3周
垂体前叶机能减退症,3-6个月
垂体性矮小病,90天
单纯性甲状腺肿,1-3个月
多囊卵巢综合征,3个月
单纯性肥胖,3-6个月
多腺体缺陷综合征,1-3年
多发性内分泌肿瘤综合征Ⅰ型,1-6月
低血糖症,1-3个月
代谢性碱中毒,1-7天
代谢性酸中毒,2-5周
儿童睡眠障碍,7-10天
肥胖症,6-12个月
高渗性非酮症性糖尿病昏迷,3个月
高血脂,30天
骨质疏松,1-4个月
Graves病,1-3个月
黄瘤,3-6周
呼吸性碱中毒,1-7天
呼吸性酸中毒,4-12周
甲状腺功能减退,3-5个月
甲状腺功能正常的甲状腺肿大,30天
静止性淋巴细胞性甲状腺炎,3-6月
甲状腺腺瘤,2-3个月
甲状腺舌管囊肿与瘘,15天
继发性肾上腺功能不足,30天
急性颌下腺炎,治疗周期7天
急性乳腺炎,治疗周期7天
急性淋巴结炎,7天
假性甲状旁腺功能减退症,14-21天
继发性甲状旁腺功能亢进症,10-30天
脚气病,2-4月
巨人症及肢端肥大症,1-3个月
基底细胞腺瘤,1个月
颈部淋巴结结核,9个月
库欣综合征,3-6个月
克兰费尔特综合征,3-6周
慢性淋巴细胞性甲状腺炎,1-3个月
泌乳素瘤,3-6月
慢性淋巴结炎,30天
男性乳房肥大症,2-4周
男性生殖腺机能减退症,1-2个月
粘多糖沉积病,多数需要终身治疗
男子乳房发育症,1-3个月
内分泌性眼球突出,1-3个月
皮脂腺痣,2-4周
气管支气管异物,1-2周
雀斑,1-3年
乳腺增生,1-3个月
乳腺癌,120天(手术治疗配合放化疗)
乳溢,3-6周
乳头状囊腺癌,1-3个月
肾上腺危象,7-10天
舌扁平苔藓,3-6周
松果体瘤,1-3月
嗜酸性腺瘤,2-4月
嗜铬细胞瘤,30天
糖尿病乳酸性酸中毒,2-4周
糖尿病酮症酸中毒,2-4周
糖尿病足,3-6月
维生素C缺乏病,1个月
维生素D中毒症,2-3个月
维生素E缺乏病,1-2个月
外科皮脂腺囊肿,2-4周
外科淋巴管瘤,1-2年
新生儿低血糖症与高血糖症,1-2周
涎瘘,1个月
胸腺瘤,2-4周
血卟啉病,3-5年
涎腺病毒病,2-5周
涎石病,一般2-4周
下丘脑疾病,1-3个月
性变态,1-2年
腺样体肥大,1-2个月
涎腺囊肿,10--21天
腺泡细胞癌,3个月
涎腺的未分化癌,1-3个月
涎腺结核,2-3年
腺样囊性癌,3-6个月
腺淋巴瘤,2-4月
涎腺混合瘤,10--21天
亚急性甲状腺炎,治疗周期180天
