"diseaseID","disease_name","part","age","infect","insurance","department","checklist","treatment","drugs","period","rate","money"
26,低血压,血液血管,所有人群，经常从事较大运动量的人群如体育运动员、重体力劳动者，而体型瘦长的年轻妇,无传染性,医保疾病,心血管内科,动态血压监测(ABPM) 血压测量 心电图 动态心电图 心脏血管超声检查 [详细],西医药物治疗、中医治疗治疗 ,注射用左卡尼汀 注射用左卡尼汀 注射用左卡尼汀,5-20天,90%,市三甲医院约（1000 —— 2000元
27,不孕症,女性生殖,成年人群，孕龄女性,无传染性,医保疾病,生殖健康 妇科,促黄体生成素 自身免疫抗体检测 不孕不育的免疫学检查 不孕不育检查 宫颈粘液相合试验 [详细],对症治疗、中医中药治疗、试管培养 ,地屈孕酮片 天紫红女金胶囊 散结镇痛胶囊,2-3月,一般经过特殊治疗后，95%能够治愈,nan
28,肾虚,肾,中老年人群尤其是40岁以上的人群，性生活多的男性,无传染性,非医保疾病,肾内科 中医科,肾功能 尿常规 [详细],药物治疗 ,肾宝片 四子填精胶囊 蓉蛾益肾口服液,10-30天,80%,市三甲医院约（1000 —— 3000元）
29,婴幼儿腹泻,胃 胃,婴幼儿,无传染性,非医保疾病,儿科 消化内科,便常规 胰腺外分泌功能试验 纤维结肠镜 呼气试验 粪便淀粉颗粒 [详细],营养不良、多种维生素缺乏、鹅口疮 ,肠炎宁片 止痢宁片 复方小檗碱鞣酸,nan,100%,nan
30,青光眼,眼,所有人群,无传染性,医保疾病,眼科,瞳孔检查 前房的一般检查 眼压计测量法 视野检查 眼球突出度 [详细],西医药物治疗、西医手术治疗、中医治疗 ,硝酸毛果芸香碱 拉坦前列素滴眼 马来酸噻吗洛尔,1-3年,60%,市三甲医院约500--5000元
31,肠梗阻,肠,所有人群,无传染性,医保疾病,消化内科 胃肠外科,胃肠道疾病的超声检查 腹部透视 腹部平片 粪便性状 一般摄片检查 [详细],药物治疗、手术治疗 ,甘油 麻仁软胶囊 麻仁润肠丸,7-10天,85%,nan
32,肺气肿,肺,中老年人,无传染性,医保疾病,呼吸内科 心胸外科,支气管镜 胸廓检查 肺通气量 胸部疾病体征检查 胸部平片 [详细],西医治疗、中医治疗 ,祛痰止咳颗粒 十五味龙胆花丸 补金片,>120天,0.50%,nan
33,睾丸炎,睾丸,男性，青壮年男性具多,无传染性,医保疾病,男科,雌酮 阴囊超声检查 男性生殖系X线检查 解脲脲原体 [详细],药物治疗 ,卡铂注射液 头孢泊肟酯片 盐酸米诺环素胶,7天,99.40%,nan
34,强直性脊柱炎,脊柱 免疫系统,10～40岁，平均发病年龄为25岁，男性较女性多见,无传染性,非医保疾病,风湿科 中医科,脊柱检查 骨关节及软组织CT 血清类风湿因子 血液生化六项 腰背部检查 [详细],药物治疗 ,萘普生片 萘普生片 萘普生片,>120天(大部分需要终身治疗),20%(控制症状治疗为主，手术为辅。),市三甲医院约（3000 —— 8000元）
35,龟头炎,阴茎,青壮年,无传染性,医保疾病,男科 泌尿外科,浆细胞 真菌检查 皮损 [详细],药物治疗（请阅读龟头炎的药物治疗） ,磷霉素氨丁三醇 醋酸氟轻松搽剂 一次性载液抗菌,10天,90%,nan
36,结肠癌,肠,多见于中老年人，30～69岁占绝大多数，男性多于女性。,无传染性,医保疾病,肿瘤科 胃肠外科,血清CA199 肿瘤筛查 细菌的鉴定 血清组织多肽抗原 胃肠道CT [详细],手术治疗、放化疗 ,复方氟尿嘧啶口 去氧氟尿苷胶囊 氯氧喹,1-3个月,30-50%,nan
37,性冷淡,女性生殖 男性生殖,成年人、女性多见,无传染性,非医保疾病,生殖健康,性激素六项 [详细],心理治疗 药物治疗 ,龟鹿补肾丸 补肾斑龙片 生力雄丸,2-4周,85%,nan
38,阴道炎,阴道,育龄期女性,无传染性,医保疾病,妇科,阴道妇科常规检查 阴道分泌物涂片 阴道触诊 阴道清洁度 药敏试验 [详细],局部用药、全身用药、男女双方同时治疗 ,保妇康栓 消糜栓 制霉素阴道栓,7-10天,90%,nan
39,流感,鼻 咽喉,所有人群，儿童,有传染性,医保疾病,传染科 呼吸内科,血凝抑制试验 [详细],药物治疗 ,金感胶囊 复方感冒灵颗粒 玉叶解毒颗粒,治疗周期14天,治愈率96%,市三甲医院约（500-1000元）;
40,肝囊肿,肝,中年女性,无传染性,医保疾病,肝病 肝胆外科,肝脏超声检查 磁共振血管造影 肝、胆、脾CT 血清白蛋白与球蛋白比值 肝、胆、胰、脾MRI [详细],手术治疗 ,甘草甜素片 拉米夫定片 硒酵母片,1-3个月,80%(外科手术治疗),市三甲医院约（3000-5000元）
41,鹅口疮,口,婴幼儿 ，刚出生的小宝宝,无传染性,医保疾病,儿科 口腔科,口腔内窥镜 吞噬白色念珠菌功能试验 扫描电子显微镜 皮肤涂片显微镜检查 涂片 [详细],药物治疗 ,度米芬含片 氟康唑片 一清胶囊,7天,99%,nan
42,大肠癌,肠,中老年人群,无传染性,非医保疾病,肿瘤科 胃肠外科,蛋白质类肿瘤标志物 血清癌胚抗原 p53基因 血红蛋白浓度 MRI [详细],药物治疗、手术治疗 ,消癌平片 消癌平糖浆 注射用唑来膦酸,3-6个月,20%,nan
43,非淋菌性尿道炎,尿道,成年人,有传染性,非医保疾病,妇科 泌尿外科,外生殖器检查 淋球菌免疫学检测 尿道口检查 尿道分泌物检查 白带常规 [详细],药物治疗 ,复方石韦颗粒 解毒通淋丸 甲苯磺酸妥舒沙,2-4周,95%,nan
44,淋巴癌,淋巴,所有人群,无传染性,非医保疾病,肿瘤科 血液科,血液生化六项 皮肤试验 尿常规 肿瘤前哨淋巴结显像 细胞免疫检查 [详细],药物治疗、手术治疗、放化疗 ,注射用盐酸吡柔 注射用环磷酰胺 卡莫司汀注射液,1-3年,10%(系统治疗后患者5年生存率达到80%),nan
45,甲沟炎,手部 足部,除了儿童，其他的人群，男性多于女性,无传染性,医保疾病,皮肤科 中医科,nan,药物治疗、手术治疗 ,曲安奈德益康唑 达克宁乳膏 20m 复方硝酸咪康唑,20天,80%,nan
46,乳房纤维瘤,乳房,乳房肿块、经前乳房胀痛不适，.常见于20～25岁青年妇女,无传染性,医保疾病,乳腺外科 妇科,乳腺B超 钼靶X线检查 乳腺导管造影 乳房穿刺针活检 [详细],手术治疗 ,乳核散结片 散结乳癖膏 乳安片,3-6周,99%,nan
47,乳头内陷,乳房,少女，初产妇，哺乳期女性。,无传染性,医保疾病,乳腺外科 妇科,乳房检查 乳房视诊 乳房触诊 [详细],手法牵拉、吸允、药物治疗 ,枸橼酸他莫昔芬 盐酸左氧氟沙星,5--7天,60%,nan
48,红眼病,眼,所有人群,有传染性,医保疾病,眼科 传染科,眼及眶区CT [详细],中药治疗、西药治疗 ,炎可宁片 盐酸羟苄唑 明目蒺藜丸,7--10天,90%,市三甲医院约（300—— 600元）;
49,胰腺癌,胰腺,成年女性，哺乳期女性更易得,无传染性,医保疾病,肿瘤科 肝胆外科,抑癌基因Rb 糖脂类肿瘤标志物 肿瘤标志物 血清CA199 肿瘤受体显像 [详细],手术治疗、放射治疗 ,注射用核糖核酸 注射用核糖核酸 注射用核糖核酸,3--6个月,0.30%,nan
50,萎缩性胃炎,胃,所有人群,无传染性,医保疾病,消化内科,胃镜 电子胃镜 纤维胃镜 无痛胃镜 五肽胃泌素胃液分析 [详细],药物治疗 ,摩罗丹(浓缩丸) 胃灵颗粒 消食十味丸,1-3个月,60%,市三甲医院约（5000 —— 10000元）
51,绝经,卵巢 子宫,女性45－55岁,无传染性,非医保疾病,妇科,雌二醇 血清卵泡刺激素 血清促甲状腺激素 促黄体生成素 血清鳞状上皮细胞癌抗原 [详细],手术治疗 ,坤宝丸 更年宁 更年安片,20天,10%,nan
52,肛裂,肛门,青壮年，男性比女性多见,无传染性,医保疾病,肛肠外科,肛门指检 大便血液 [详细],药物治疗、手术治疗 ,马应龙麝香痔疮 美沙拉秦肠溶片 痔炎消颗粒,3-6周,98%,nan
53,小儿急性支气管炎,肺,儿童人群,无传染性,非医保疾病,儿科 呼吸内科,胸部平片 [详细],药物治疗、支持疗法 ,小儿化痰止咳颗 小儿清热灵 止咳枇杷颗粒,治疗周期7天,治愈率98.9%,nan
54,十二指肠溃疡,肠,男性发病率明显高于女性，多见于青壮年,无传染性,医保疾病,消化内科 胃肠外科,幽门螺杆菌检测 内镜检查 14C呼气试验 尿素酶试验 碳13尿素呼气试验 [详细],药物治疗、手术治疗 ,盐酸雷尼替丁胶 复方石菖蒲碱式 盐酸雷尼替丁胶,10-30天,80-90%,市三甲医院约（3000 —— 5000元）
55,膀胱炎,膀胱,中年女性，新婚女性,有传染性,医保疾病,泌尿外科 中医科,尿常规 泌尿系统CT 尿细菌培养 膀胱B超 膀胱造影 [详细],药物治疗（请阅读膀胱炎的药物治疗） ,泌淋清胶囊 复方石韦颗粒 磷霉素氨丁三醇,7-10天,90%,市三甲医院约（500 —— 1000元）
56,狂犬病,全身,所有人群，大多是儿童,有传染性,医保疾病,传染科,脑脊液检查-化学检查-蛋白质检查 [详细],药物治疗、对症治疗 ,人用狂犬病疫苗 冻干人用狂犬病 冻干人用狂犬病,2-8周,0.01%,市三甲医院约（3000-5000元）;
57,植物神经紊乱,周围神经系统,压力较大、生活没有规律的人群多见,无传染性,医保疾病,神经内科 中医科,神经系统检查 脑电图 闭目直立试验 [详细],神经营养药治疗、生活习惯调整 ,谷维素片 谷维素片 维生素B1片,1年,79%,nan
58,半月板损伤,膝部 下肢骨,青壮年运动员,无传染性,医保疾病,骨科 中医科,四肢的骨和关节平片 骨与关节MRI 关节镜 站立位研磨试验 凯洛格-斯皮德试验 [详细],药物治疗，关节镜手术 ,跌打丸 三七伤药片 活血止痛胶囊,4-6个月,60%(外科手术治疗),nan
59,肾囊肿,肾,成年人,无传染性,医保疾病,肾内科 泌尿外科,泌尿系统CT 肾脏CT 肾脏B超 肾脏MRI 尿管型 [详细],手术疗法 ,应该如何用药？用什么药？,3个月,70%,nan
60,血管瘤,皮肤 全身,少年，青年，儿童,无传染性,医保疾病,血管外科 肿瘤科,胸部CT 肝、胆、胰、脾MRI [详细],西医药物治疗、手术治疗、中医药物治疗、物理治疗 ,碘海醇注射液 注射用纤溶酶 五妙水仙膏,3-6周,95%,市三甲医院约（3000 —— 8000元）
61,缺铁性贫血,血液血管,所有人，妇女多数,无传染性,医保疾病,血液科 中医科,红细胞检查 异常红细胞形态 血清铁蛋白 血清铁 血清转铁蛋白 [详细],药物治疗 ,驴胶补血颗粒 健脾生血颗粒 重组人红细胞生,30-60天,95%,市三甲医院约（500-1000元）
62,牙周病,口,所有人群,无传染性,医保疾病,口腔科,牙髓电活力 牙髓冷热诊 [详细],药物治疗、手术治疗 ,丁硼乳膏 维生素C泡腾片 西瓜霜清咽含片,1-2个月,85%,nan
63,风湿性关节炎,关节,除了儿童。其他人群的都有可能,无传染性,医保疾病,风湿科 骨科,血清C反应蛋白 血沉方程K值 关节腔液检查 血清补体C1q 红斑狼疮细胞 [详细],药物治疗、物理治疗、推拿治疗、手术治疗 ,雪山金罗汉止痛 风湿定胶囊 奥沙普秦分散片,3-6月,85%,市三甲医院约3000--8000
64,心脏病,心脏,所有人群,无传染性,医保疾病,心血管内科 心胸外科,多普勒超声心动图 心脏血管超声检查 心血管MRI 心电图 平衡法放射性核素心血管造影 [详细],药物治疗 ,氧 香丹注射液 盐酸多巴酚丁胺,1-3个月,30%,市三甲医院约（15000 —— 18000元）
65,鼻炎,鼻,所有人群,无传染性,医保疾病,耳鼻喉科,前鼻镜 鼻部检查 鼻腔检查 鼻内激发试验 健康体检 [详细],药物治疗 ,鼻炎康片 康乐鼻炎片 千柏鼻炎片,1--2周(急性鼻炎1-2周，慢性需1-2年),90%(急性鼻炎治愈率90%，慢性鼻炎治愈率20-,市三甲医院约（1000 —— 3000元）
66,慢性宫颈炎,子宫,女性,无传染性,非医保疾病,妇科,阴道活检 白带常规 盆腔和阴道B超 妇科的保健体检 妇科炎症检查 [详细],中医药物治疗、物理治疗 ,抗宫炎片 妇科千金片 抗妇炎胶囊,7-10天,>80%,市三甲医院约500-1000元
67,毛囊炎,皮肤,所有人群，多见于成人,无传染性,医保疾病,皮肤科 中西医结合科,nan,药物治疗 ,莫匹罗星软膏 克林霉素甲硝唑 乙酰麦迪霉素干,7-10天,63%,nan
68,小儿发烧,全身,婴幼儿,无传染性,非医保疾病,儿科 呼吸内科,肥达氏反应 体温 白细胞数 淋巴细胞数 回归热螺旋体 [详细],药物治疗、物理治疗 ,感冒清热颗粒 小儿热速清糖浆 小儿肺热平胶囊,10-15天,85%,nan
69,附睾炎,睾丸,青年及中年男性,无传染性,医保疾病,男科 泌尿外科,阴囊超声检查 血支原体抗体 提睾反射 [详细],药物治疗 ,茴香橘核丸 二十八味槟榔丸 甲苯磺酸妥舒沙,3-6个月,60%,nan
70,慢性胆囊炎,胆,老年人,无传染性,医保疾病,消化内科 肝胆外科,静脉胆道造影 胆道造影 胆囊胆道B超 血清化学检查 胆囊触诊 [详细],药物治疗、支持疗法 ,复方金钱草颗粒 鸡骨草胶囊 熊去氧胆酸片,5-15天,80%,市三甲医院约（5000 —— 8000元）
71,口臭,口,所有人群,无传染性,医保疾病,口腔科,口腔内窥镜 [详细],中医药物治疗 ,丁硼乳膏 维生素C泡腾片 西瓜霜清咽含片,3-6个月,80%,nan
72,霉菌性外阴炎,外阴,妊娠期妇女、女性糖尿病患者,有传染性,非医保疾病,妇科,子宫颈涂片测试 阴道分泌物涂片 直接涂片检查 外阴部妇科常规检查 阴道病原体 [详细],西医药物治疗 ,妇科千金片 洁尔阴泡腾片 消糜栓,2-4周,100%，但可能会反复感染,nan
73,猪流感,全身,所有人群,有传染性,医保疾病,传染科 呼吸内科,胸透 血清流感病毒抗体 [详细],药物治疗 ,四季抗病毒合剂 甲型H1N1流感病 甲型H1N1流感病,1-3周,70%,市三甲医院约（10000 —— 20000元）;
74,麻疹,全身,儿童，少年，成人,有传染性,医保疾病,传染科 儿科,腹部皮肤检查 脱落细胞 血清抗麻疹病毒抗体 植物血凝素试验 淋巴细胞计数 T细胞花环形成试验 淋巴细胞转换试验 FBC玫瑰花试验 结核菌素皮内试验 血凝抑制试验 [详细],药物治疗 ,盐酸西替利嗪胶 盐酸赛庚啶片 炉甘石洗剂,3-6月,80%,市三甲医院约（5000-10000元）;
75,前列腺癌,前列腺,中老年男性,无传染性,医保疾病,肿瘤科 泌尿外科,内生殖器检查 泌尿系统CT 前列腺、精囊腺的超声检查 血清肿瘤基因P53抗体 MRI [详细],治愈性治疗、姑息性治疗 ,氟他胺片 氟他胺胶囊 醋酸甲地孕酮分,20--30天(一般手术治疗周期一般在20-30天左,50%(这个通过手术治疗，5年生存率在50%左右,nan
76,原发性肝癌,肝,中老年人群,无传染性,医保疾病,肿瘤科 肝病,血清异常凝血酶原 血清胎儿碱性蛋白 肝显像 蛋白质类肿瘤标志物 脏器声学造影 [详细],手术治疗 ,消癌平糖浆 注射用核糖核酸 固元片,2-4年,5年生存率30%,nan
77,焦虑症,心理,35岁以前的女性,无传染性,非医保疾病,精神病科 神经内科,暂无相关资料,药物治疗、心理疗法 ,普瑞巴林胶囊 盐酸度洛西汀肠 阿米替林片,1个月,70%,市三甲医院约（500-1000元）
78,肾积水,肾,所有人群,无传染性,医保疾病,肾内科 泌尿外科,全身骨骼疾病排查 肾功能 尿常规 尿路平片 肾图 [详细],西医药物治疗、中医药物治疗 ,八正合剂 谷丙甘氨酸胶囊 盐酸坦洛新缓释,7--21天,80%,nan
79,神经性皮炎,皮肤,所有人群，老人、儿童少见。,无传染性,医保疾病,皮肤科 中医科,皮肤试验 [详细],药物治疗 ,冰黄肤乐软膏 复方醋酸氟轻松 醋酸曲安奈德乳,>120天(终身间歇性治疗),暂无相关资料,nan
80,脱发,头部 皮肤,所有人群，大多是中老年人，男性多于女性,无传染性,医保疾病,皮肤科 内分泌科,毛发 毛发矿物质 [详细],药物治疗 ,养血生发胶囊 固肾生发丸 胱氨酸片,10-30天,60%,nan
81,胰腺炎,胰腺,所有人群,无传染性,医保疾病,消化内科 肝胆外科,二氧化碳结合力 腹部MRI 腹部CT 纤维肠镜 胰脏触诊 [详细],药物治疗、手术治疗 ,清胰利胆颗粒 胰酶肠溶胶囊 盐酸屈他维林注,nan,95%,市三甲医院约（3000-5000元）
82,低血糖,血液血管 胰腺,糖尿病患者，中老年人,无传染性,非医保疾病,内分泌科,血清胰岛素原 胰高糖素激发试验 胰高血糖素 自我血糖监测 胰岛素低血糖兴奋GH、ACTH试验 [详细],药物治疗、支持疗法 ,黄芪颗粒 当归补血口服液 七叶神安片,nan,95%,nan
83,小儿肺炎,肺,3岁以内的婴幼儿,无传染性,医保疾病,儿科 呼吸内科,儿童体检 波顿格征 支原体检查 胸部平片 痰液病原体 [详细],药物治疗 ,蛇胆川贝胶囊 贝羚胶囊 咳喘静糖浆,2-4周,80%,nan
84,急性肠胃炎,胃 肠,所有人群,无传染性,医保疾病,消化内科,便常规 粪细菌培养 胃钡餐造影 胃总酸度 [详细],药物治疗、支持疗法 ,腹可安片 枫蓼肠胃康分散 枫蓼肠胃康合剂,治疗周期7天,治愈率99%,nan
85,脑出血,颅脑 血液血管,老年人 ，常发生于50～70岁，男性略多,无传染性,医保疾病,脑外科 血管外科,脑血流测定 头颅平片 颅内压监测 颅脑超声检查 脑电图 [详细],内科保守治疗、外科手术治疗 ,果糖二磷酸钠口 安宫牛黄丸 长春西汀片,21天,81%,nan
86,阴虱病,皮肤,所有人群,有传染性,医保疾病,传染科 皮肤科,虱检查 [详细],药物治疗 ,林旦乳膏 林旦乳膏 林旦乳膏,7天,90%,不同医院收费标准不一致，市三甲医院约（500-1000元）;
87,慢性肾炎,肾,青、中年男性,无传染性,医保疾病,肾内科,血清化学检查 血清阴离子 尿酚红排泄试验 尿常规 尿液细胞学检查 [详细],药物治疗 ,黄葵胶囊 复方α-酮酸片 吗替麦考酚酯胶,2-6月,95%,市三甲医院约（3000 —— 5000元）
88,白内障,眼,儿童、老年人,无传染性,医保疾病,眼科 老年科,常规小瞳孔检查 瞳孔检查 视力筛查仪 晶状体检查 Farnsworth15色标试验 [详细],药物治疗、手术治疗 ,苄达赖氨酸滴眼 拨云退翳丸 杞菊地黄丸(浓,1-2个月,90%(外科手术治疗),nan
89,甲状腺癌,甲状腺,中老年人群,无传染性,医保疾病,肿瘤科 外科,外科检查 血清甲状腺球蛋白 血清降钙素 MRI 甲状腺放射性核素显像 [详细],药物治疗、手术治疗 ,博尔宁胶囊 平消片 安替可胶囊,1-3个月,10%,nan
90,肝硬化,肝,20～50岁的男性,无传染性,医保疾病,肝病 消化内科,肝脏及胆囊叩诊 肝压痛 胸腹水常规检查 大生化检查 血浆凝血因子Ⅱ活性 [详细],药物治疗、饮食疗法、手术治疗 ,肝喜乐胶囊 复方木鸡颗粒 水飞蓟宾胶囊,3个月,60%,市三甲医院约（3000 —— 8000元
91,多囊卵巢综合征,卵巢 全身,女性，肥胖女性,无传染性,医保疾病,妇科,HCG 地塞米松抑制试验 卵巢肿瘤标记 雌激素 睾酮 [详细],药物治疗 ,调经促孕丸 益母草颗粒 加味益母草膏,国内最认可的有效治疗手段的该病治疗周期（,一般在正规综合三甲医院的典型病例治愈率（,nan
92,过敏性紫癜,皮肤 全身,儿童及青少年,无传染性,医保疾病,血液科 中医科,腹部皮肤检查 束臂试验 便常规 尿常规 血常规 [详细],药物治疗 ,转移因子胶囊 肾上腺色腙片 复方维生素C钠,7-10天,90%,市三甲医院约（3000-5000元）
93,拉肚子,肠,所有人群，经常乱吃东西的人，肠胃敏感的人,无传染性,医保疾病,消化内科,蛋白质、氨基酸分解产物试验 伦代试验 胶囊内视镜 平均红细胞血红蛋白浓度 血清铜 [详细],药物治疗、饮食治疗 ,参倍固肠胶囊 止泻灵片 绿梅止泻颗粒,3-7天,98%,nan
