symID,symptom
363,胃部隐痛
364,马蹄外翻足
365,感觉性共济失调
366,无睾丸
367,肢体重困
368,乳房有数目不等似黄豆的结节
369,静止性震颤
370,缺铁性贫血
371,口唇出血
372,烂眼边
373,鼻中隔或鼻腔内
374,血压偏低
375,眼结膜红
376,腋毛变稀少
377,眼睑肥厚
378,皮肤变薄发亮
379,腹腔积液
380,免疫力下降
381,小腹冷痛
382,咽喉及口内刺痒
383,逆向型房室折返性心动过速
384,进行性消瘦
385,血流动力学障碍
386,脊柱侧弯
387,轻瘫
388,耳痛
389,烧伤创面浅咖啡
390,口干
391,迷恋足部或鞋袜
392,口唇干燥
393,屈曲指
394,粘液性水肿面容
395,宫腔分离
396,劳累时腰部酸痛或胀痛
397,耳廓耳道撕裂伤
398,皮肤瘀斑
399,肺部肿块
400,气急
401,心源性呼吸窘迫
402,妊娠时伴有腹痛
403,胫骨结节处的酸
404,阴茎异常
405,脂肪痢
406,纤维性钙化结节
407,热痉挛
408,耳廓痛
409,动眼神经麻痹
410,闪回
411,啤酒肚
412,甲营养不良
413,咽喉炎
414,纵隔病变
415,病理性听觉适应
416,间歇性胃痛
417,手抽筋
418,头发枯黄稀疏
419,罗圈腿
420,21-羟化酶缺陷症
421,精血衰少
422,黑尿
423,恋毛巾被癖
424,胎盘前置
425,立毛反射减弱
426,腕银叉状畸形
427,大肠黑变
428,气不摄血
429,打喷嚏
430,咽反射亢进
431,牙龈肿痛
432,剧烈运动后呕吐
433,良性反应性改变
434,脐窝内有樱红色
435,眼睑松弛
436,汗闭现象
437,迫害妄想
438,消耗性体重下降
439,牙齿臭
440,无汗腺导管角质护膜分化
441,肠粘连
442,小腿和踝关节周围的紫红色瘀斑
443,乳腺组织肥厚
444,全身消瘦型
445,死精子过多
446,病理性赌博
447,脐周皮肤青紫色斑
448,神经纤维过度生长
449,垂体切除术后昏迷
450,脓液为巧克力色或查到阿米巴原虫
451,入睡障碍性失眠
452,容貌逐渐变得粗笨
453,手脚发麻
454,突发性绞痛
455,肺纹理减少
456,持物不稳
457,打呼噜
458,视神经萎缩
459,胆绞痛
460,腕关节扭挫伤
461,钩骨附近的压痛
462,舌咽神经痛或其他内脏病引起的晕厥
463,弥漫性脐周疼痛
464,双掌猿线出现率
465,恶性贫血
466,桥脑梗塞
467,儿童骨缺损
468,心排血量减少
469,静脉回流障碍
470,口舌生疮
471,肢体或躯干麻木
472,红晕
473,神经痛
474,鼻子颜色苍白
475,红色盲
476,颜面发红紫色
477,房内传导阻滞
478,坐骨大小孔区出现压痛
479,糖激素依赖
480,口腔黏膜脱落
481,依赖公式化
482,手指不能屈伸
483,横结肠移位
484,肝豆状核变性
485,目垢增多
486,背痛
487,原发性痛经
488,脉搏细速
489,子宫性闭经
490,皮质胶质增生
491,囊肿
492,鼻裂
493,肾气虚
494,活动后气促
495,盲肠阿米巴肉芽肿
496,乳晕深部可扪及肿块
497,失血过多后贫血
498,弥漫性腹部骨化
499,鼻塞排出脓性或
500,手上有小水泡
501,口吐白沫
502,牙痛
503,考试综合症
504,捻发音
505,老人便秘
506,女性不孕
507,高腭弓
508,颤抖
509,睡眠呼吸暂停
510,食指半月甲呈粉红色
511,被迫体位
512,颅外头痛
513,咀嚼肌肥大
514,QRS波宽大畸形
515,死胎
516,肠子粘连
517,皮肤湿冷
518,流感样症状
519,刺痛
520,脉细数无力
521,输尿管扩张
522,神志模糊
523,卵泡囊肿
524,真性近视
525,收缩期震颤
526,骨端增大
527,耻区肿块
528,血痂
529,胸膺胀满
530,男性不育
531,眼花
532,产后腹痛
533,紧脉
534,髌骨软化
535,面痛
536,腮颊肿胀
537,肛裂
538,小儿湿疹
539,衰弱
540,病理性钙化
541,额叶癫痫岛盖发作
542,角膜表面三角形胬肉
543,皮肤潮红肿胀
544,咳嗽性晕厥
545,足踝部光滑圆形的包块
546,腹壁广泛性钙质沉着
547,脓血性白带
548,咽喉干燥充血
549,体位性眩晕
550,鼻溢液
551,骨痹
552,屈髋屈膝及外旋畸形
553,肌性肌无力
554,重度烧伤
555,皮炎
556,无嗅脑
557,垂体性闭经
558,吸气时鼻腔阻塞
559,不全流产
560,疥疮
561,异常粗大的舞蹈样动作
562,气虚阳衰
563,肌肉肥大
564,眼睑瘙痒
565,肾部积水现象
566,眉弓疼痛
567,腹壁外侧包块
568,产褥期躁狂状态
569,尿崩
570,颌下腺肿大
571,认识能力缺失
572,毛细血管搏动
573,大脑发育障碍
574,肩节后脱位
575,三尖瓣脱垂
576,骨硬化
577,吐酸
578,睾丸触痛
579,蹒跚步态
580,烧灼性疼痛
581,痰湿停聚
582,胎心率改变
583,喉部有痰
584,粘膜疹
585,类似荨麻疹的皮肤潮红斑块
586,骨内损害
587,颌骨呈“扇形”骨质破坏
588,肢体远端出现腕垂踝垂
589,急性病容
590,浅表淋巴结进行性肿大
591,上颈髓区病变
592,屈光参差性弱视
593,伸舌偏斜
594,高钾血症
595,屈伸不利
596,肝热及胆
597,晨起时颈背部弥漫性剧痛
598,胸锁乳突肌附着处压痛
599,乳白色尿
600,导水管周围受损
601,去首高血压
602,幻听
603,肋间隙变窄
604,枕部疼痛
605,左上腹肿块伴有
606,额头皱纹突然增加
607,骨缝分开
608,蛔虫感染
609,乳汁淤积
610,双相型体温
611,中度昏迷
612,心音微弱
613,婴幼儿抽风
614,瞳孔不对称
615,非怀孕的下腹增大
616,神经官能症状
617,大阴唇或肛门大
618,尿分叉
619,黄色蛋花样稀便
620,一咳嗽胸口就疼
621,虚脉
622,丹毒
623,口角和鼻周出现
624,蛙状鼻
625,急性非化脓性一过性颈淋巴结肿胀
626,血栓后综合征
627,情感高涨
628,颈椎痛
629,正弦胎心率
630,膈膨升
631,发音障碍
632,耻骨联合分离
633,头部及眼后部疼痛并能听到连续不断的隆隆声
634,食管间隙形成肿块
635,感觉分离
636,散脉
637,老年人非病变性眼前飞蚊
638,子宫破裂征象
639,发热伴寒战
640,毛细血管出血
641,脑膜炎
642,肺动脉狭窄
643,晚霞样或夕照样眼底
644,胃纳差
645,肝纤维化
646,气管间隙形成肿块
647,乳头溢出血性或棕色浆液性液体
648,咯血如注
649,舌尖红绛
650,腹泻与便秘交替
651,根据不同医院，收费标准不一致，市三甲医院约（40000--80000元）
652,先兆流产
653,黏液分泌亢进
654,发作后精神障碍
655,性上瘾
656,颌骨发育过度
657,骨痛
658,心慌
659,津亏血燥
660,口苦
661,肌肉酸痛
662,慢性肾衰竭
663,腹部“气串样”肿块
664,腹肌强直
665,肠道功能紊乱
666,睡觉时心跳加快
667,舞蹈病样动作
668,急性肾衰竭
669,膝后肿胀疼痛，
670,多汗恶风
671,气血不通
672,持续颅内杂音
673,睡觉后全身大汗淋漓
674,脸冻伤
675,滴状角膜
676,脓包
677,皮肤白喉
678,食管气管瘘
679,肢端湿冷
680,腕部疼痛
681,稽留热
682,沮丧
683,韧带断裂
684,情绪低落
685,脉数
686,迷走神经张力增高
687,新生儿心力衰竭
688,耳内疼痛
689,手足皲裂
690,伤口结疤
691,新生儿少哭
692,鼓膜发红，耳后红肿
693,餐后血糖过低
694,注意障碍
695,难免流产或不可
696,分娩后甲状腺肿大
697,支气管狭窄
698,排便障碍
699,分裂型人格障碍
700,前囟张力增高
701,尿道口肿块
702,发热伴有腹痛、
703,皮肤冻伤
704,下腹痛
705,鼻黏膜和鼻甲萎缩
706,吞气
707,叹气后舒服
708,骨髓浆细胞增多
709,肛周皮肤潮红
710,盲点
711,足癣
712,皮下脂肪增多
713,等渗尿
714,眼前冒火花或眼前闪光
715,偏盲
716,Moro反应迟钝
717,临产后胎头衔接较晚
718,压力和体位性多汗
719,平卧呼吸困难
720,肌肉撕裂
721,珍珠丘疹
722,下肢淋巴水肿
723,食物误入气道
724,眼球斑点
725,牢脉
726,肺门增宽
727,脉洪而芤
728,结肠黑变
729,强迫性头位
730,消化性溃疡
731,易昏厥
732,角膜瘘
733,颈部皱纹多
734,皮肤老化
735,手腕肿痛及掌屈
736,子宫增大明显（
737,孕妇小腹痛
738,胁肋灼痛
739,肌肉纤维震颤
740,镜面舌
741,脓疱性痤疮
742,关节韧带松弛或肌张力低
743,瘀斑
744,脑细胞脱水
745,妊高征
746,运动损伤
747,强迫观念
748,鼻和喉部灼热感
749,急性贫血
750,咽反射
751,看东西有重影
752,口渴引饮
753,食管壁纤维化
754,产力异常
755,动作样壁
756,胃胀
757,眼距宽阔
758,乳腺随月经出现胀痛
759,先天性铜代谢障碍
760,面色青灰
761,尿酸化异常
762,息肉样损害
763,长头巨脑
764,肘外侧肿痛及功能障碍
765,皮肤呈实质性非
766,新生儿皮肤硬肿
767,口渴喜饮
768,脐窝湿润有臭味
769,第二性征改变
770,上肢及面部血管
771,胰腺外分泌功能不良
772,下腰部疼痛
773,水泡
774,小儿干咳
775,皮肤或粘膜上附
776,结节状息肉样肿块
777,卵巢积液
778,臀沟下垂状跛行步态
779,躁狂与昏睡交替
780,口腔血泡
781,大量皮肤脱屑
782,全身骨骼肌收缩
783,肢体不自主震颤
784,纵膈气肿
785,儿童联想和情感障碍
786,眼色素膜炎
787,耳道流血
788,清晨或上午头痛
789,严重急性呼吸道症
790,库欣综合征
791,气压伤
792,牙移位
793,舞蹈样步态
794,失读
795,鼻孔朝天或鼻孔前倾
796,毛发呈脱发祥
797,颈背部肌肉痉挛
798,血尿伴蛋白尿
799,阴囊下坠
800,心理性性功能障碍
801,新生儿母乳喂养
802,黏液脓性痰
803,情绪起伏大
804,腹满
805,脉搏快而弱
806,脾阳虚
807,骨髓巨核细胞成熟障碍
808,重压感、紧箍感或钳夹样头痛
809,血性渗液
810,心源性水肿
811,皮下结节
812,下肢动作沉重
813,反复肺炎
814,精子活力低
815,产后手指痛
816,口鼻生疮
817,盆腔下垂感
818,乳糖耐受不良
819,感染性发热
820,迎风流泪
821,磨牙后垫红肿
822,胸部透视
823,营养代谢缺乏
824,睁眼困难
825,睑结膜的巨大乳头
826,大小便失禁
827,老年人小腿浮肿
828,耳后淋巴结肿大
829,颅神经损害
830,血清酶学改变
831,突眼症
832,﻿尿等待
833,舌两侧边缘毛状白斑
834,嘴角降肌发育不良
835,绝经期面红
836,肌肉坏死
837,小腿寒冷痠痛
838,肛门有黑色肿块脱出
839,瘤体坚硬
840,单纯骨折
841,腺样体面容
842,反应迟钝
843,椎间隙变化
844,手指或手臂部刺痛及麻木感
845,脂肪代谢障碍
846,体重减轻
847,急性溶血性尿毒综合征
848,胸腰段及腰椎前凸消失
849,间歇性尿蛋白
850,乳食不化
851,临产后俯屈不良
852,肠鸣音消失
853,肺部感染
854,手腕肿痛及掌屈活动受限
855,发热伴眼睛充血
856,肝功能受损
857,慢性房颤
858,阴道闭锁
859,脂肪组织增生肥大
860,囟门闭合晚
861,眼发胀、发干
862,打嗝
863,早饱
864,皮肤上线状排列
865,胫前和足部坚硬的非凹陷性水肿斑块
866,臀部酸痛
867,畏热
868,粪便中查见虫卵
869,母婴ABO血型不合
870,冷球蛋白发生沉
871,胃寒疼痛
872,眼外转移
873,频繁性惊醒
874,血管畸形
875,鼻衄
876,肩臂外侧的感觉障碍和功能受限
877,流泪
878,外阴损伤
879,脑转移
880,便血且血与粪便混合
881,腹部伤口流出粪便样物
882,神经衰弱综合征
883,膝前疼痛
884,头目晕沉
885,一侧阴囊内逐渐
886,癫痫的单纯部分性发作
887,前额头痛
888,软组织感染
889,嗜酒性幻觉性精神错乱
890,象限性偏盲
891,新生儿母乳喂养后出现黄疸
892,神经性头痛
893,偏侧不注意
894,社交敏感性障碍
895,感觉迟钝
896,前臂及手部肌群
897,精虚血弱
898,肺间质纤维化
899,听骨畸形
900,牙龈长脓包
901,肛内分泌物多
902,回盲瓣功能不全
903,膀胱膨隆
904,阴户生疮
905,疼痛弧征
906,松果体钙化移位
907,免疫力降低
908,光感性皮肤损害
909,眼眶疼痛
910,牙关紧闭
911,咳声嘶哑
912,脑脓肿
913,恶性胸水
914,粘膜乳突状生长
915,挖耳出血
916,静脉曲张
917,不真实感
918,视网膜水肿
919,臀肌萎缩
920,复杂性醉酒
921,高尿酸血症
922,舌位于口腔底不能外伸
923,反复高热
924,紧张性手抖
925,脐突
926,并指（趾）畸形
927,脑炎样改变
928,胎儿酒精综合征
929,腹壁静脉怒张
930,淋巴道转移
931,白色黏液状尿
932,视盘倾斜
933,婴儿臀部红
934,掌骨和跖骨短
935,心律不齐
936,便秘
937,酒糟鼻
938,肾络滞阻
939,神经根损伤
940,骶骨处持续性疼痛
941,指鼻不准
942,腋部肿块
943,咯血伴发热
944,梳头或洗头时头发脱落增加
945,免疫功能障碍
946,视野缺损
947,厌奶
948,脑白质变性
949,腿脚浮肿
950,手变短
951,脚趾痛风
952,血象异常
953,痰黏稠或脓性可有腥臭味
954,皮肤弥漫潮红
955,颅压增高
956,肩部牵涉痛
957,晕眩
958,尿道结节
959,耳屎多
960,乳腺刺痛
961,脾气虚
962,肩周区弥散的钝痛及放射痛
963,睡眠时睑闭合不全
964,尿胆原增加
965,血管过敏性炎症
966,巩膜充血
967,面部水肿
968,癌细胞逆行播散
969,心包积液体征
970,血小板减少性紫癜
971,双肾弥漫性病变
972,小肠内的低pH
973,颅缝过早闭合
974,革脉
975,牙齿较小呈半透明状
976,神经干断裂
977,螺旋形骨折
978,圆形或卵圆形丘疹或结节
979,拇指仅存软组织
980,呼吸气为酒味
981,耳围凹陷
982,红细胞增多-高粘滞度
983,斜视性弱视
984,虹膜蓝色
985,肛周软瘊
986,阴囊肿大
987,声音变低
988,腱鞘变干
989,胎儿生长发育迟缓
990,肝脏肿大
991,下颌前突
992,蹲下起来后眼前发黑
993,男子性功能障碍
994,乳糜泻
995,室颤阈值降低
996,腰椎椎管狭窄
997,房性早搏
998,术后腹胀
999,酒精性震颤
1000,四肢对称性软瘫
1001,视野向心性缩小
1002,高度膨胀的毛细血管襻
1003,老人髋部疼痛
1004,胸部挫伤
1005,放屁频频
1006,指甲嵌入肉
1007,耳窍壅肿
1008,黏膜损害
1009,牙体损伤
1010,膝关节积液
1011,孕产妇腰痛
1012,臀沟内似夹着异物样的难受及不愉快感
1013,烧心
1014,流产
1015,痢疾样大便
1016,产后极端行为
1017,腰大肌肿胀
1018,舌震颤
1019,指甲易碎
1020,腹股沟区可复性肿块
1021,浮肿
1022,胆囊壁纤维化
1023,胃区包块
1024,精道疼痛
1025,眨眼不止
1026,眼白蓝灰色或黑色斑点
1027,电脑失写症
1028,间歇性头痛
1029,情感麻痹
1030,新生儿绿牙或棕褐色牙
1031,眼前异常闪光，增加的黑点
1032,肝臭
1033,脸裂
1034,脓疱
1035,肌肉挫伤
1036,屈光介质混浊
1037,心脏毒性作用
1038,血栓脱落
1039,膀胱膨出
1040,霉菌感染
1041,髌骨疼痛
1042,新生儿斜颈
1043,胡萝卜素血症
1044,行走后小腿肌肉痉挛
1045,全身衰竭
1046,唇圆或椭圆形红斑
1047,同向性偏盲
1048,髋关节痛
1049,病理性偷窃
1050,哭泣样尖叫
1051,鼻出血
1052,萎缩性痤疮
1053,消化道憩室
1054,耳廓腹侧面局限性囊肿
1055,眶静脉回流障碍
1056,毒血症
1057,食管溃疡
1058,场所恐惧
1059,鼻咽癌的远处转移
1060,日光照射引起皮肤过敏
1061,扁平足
1062,川字纹
1063,膀胱刺激征
1064,下垂肩
1065,幽门管狭窄
1066,皮窦道
1067,胸椎疼痛
1068,胸膈间烧灼嘈杂感
1069,肢体障碍
1070,缺氧缺血性神经损伤
1071,睡眠唤醒反应
1072,鼻旁窦发育不良
1073,上肢麻木
1074,脉率增快
1075,肠穿孔
1076,炎性外痔
1077,小阴唇及前庭也
1078,高血钾
1079,瘤细胞浸润
1080,两眼上视障碍
1081,正常免疫球蛋白减少
1082,耳顶线以下至发际处痛觉过敏或减退
1083,外阴肿胀
1084,胸骨隆凸
1085,毛发稀少
1086,双眼难以忍受的奇痒
1087,叶状脱色斑
1088,没有肛门
1089,肢体局部的皮肤
1090,心理麻木
1091,乳腺外上象限腺体增厚
1092,肠鸣音亢进
1093,输卵管堵塞
1094,青紫舌
1095,夜间磨牙
1096,半乳糖血症
1097,外斜V征
1098,步态异常
1099,吸气时胸口痛
1100,经期浮肿
1101,脸颊潮红
1102,血管性痴呆
1103,日晒斑
1104,一过性的流感样症状
1105,巩膜水肿
1106,前列腺素合成减少
1107,右下腹痛
1108,无法引出moro反应
1109,脓痰
1110,拇趾与二趾趾间距大
1111,手脚冰凉
1112,室颤
1113,排尿疼痛
1114,永久性秃发
1115,鼻端缺损
1116,胆囊触痛征
1117,缓脉
1118,传导性耳聋
1119,多尿
1120,足部肿胀压痛
1121,口角下垂
1122,手指甲有白色斑点
1123,颈部粗
1124,巅顶疼痛
1125,腹部“柔韧感”体征
1126,中性粒细胞增高
1127,胸膜摩擦音
1128,上腹壁的中央线缺损
1129,阴茎硬结
1130,喜怒无常
1131,手掌和足底角化伴多汗
1132,血浆胆固醇水平高
1133,胎动减少
1134,色素沉着
1135,痰鸣音
1136,结节
1137,手术后破伤风
1138,双侧肾上腺皮质增生
1139,肺过度充气
1140,投掷动作(颤搐)
1141,情景性晕厥
1142,右胁疼痛
1143,骨密度增加
1144,疲劳
1145,尿道流血
1146,肢体或躯干姿势异常
1147,行为及情绪异常
1148,中枢性发热
1149,胸骨后疼痛
1150,髌周指压痛
1151,心力贮备减少
1152,皮下囊肿
1153,脑实质的浸润
1154,门脉高压
1155,气管隆突以上的损伤
1156,足跟步行
1157,直立性低血压晕厥
1158,霍纳综合征
1159,CT检查
1160,腰椎骶化
1161,胎盘植入
1162,紧张性疲劳
1163,指(趾)肿胀
1164,鼻窦压痛
1165,心肺栓塞
1166,胆汁排泄受阻
1167,肝功能不全
1168,上腹及腰背部有“束带感”
1169,面容呈灰色
1170,喉头痉挛
1171,新生儿手足徐动
1172,温觉丧失
1173,咳嗽伴体重减轻
1174,扁平骨盆
1175,液体平衡失调
1176,视乳头水肿
1177,软组织肿胀
1178,门静脉血流郁滞
1179,颈椎骨折脱位
1180,关节肿痛
1181,精神变态
1182,拔牙后伤口经久不愈
1183,头昏想睡觉
1184,痘疮
1185,行走踩棉花感
1186,心率不齐
1187,支气管肺泡音
1188,瘀血斑
1189,思虑伤脾
1190,眼充血
1191,粪样呕吐物
1192,尿道内口呈漏斗样改变
1193,风盛血燥
1194,肺实变
1195,尺动脉或桡动脉
1196,Q-T间期延长
1197,丘疹
1198,肥胖并痛性结节或脂肪块
1199,滑膜发炎
1200,能力减退感
1201,格子样变性
1202,肾功能衰竭
1203,疖肿
1204,视近不能持久
1205,异位性心动过速
1206,食物下咽时颈部
1207,口燥咽干
1208,骨质疏松
1209,嗜酒
1210,胎粪污染
1211,深侧鼻塞
1212,第三心音奔马律
1213,皮肤钙化
1214,两性畸形
1215,外阴痛
1216,出汗减少
1217,下肢弥漫性水肿
1218,抽搐
1219,烂嘴角
1220,玻璃体有血迹
1221,强迫型人格障碍
1222,骨骼变形缩短
1223,人中圆凸
1224,一过性意识蒙眬
1225,尿色酱红或呈酱油色
1226,婴儿吐奶
1227,眼睑下垂
1228,盆腔充血
1229,胸廓异常
1230,顽固性疼痛
1231,下背部酸痛
1232,黏膜出现出血点
1233,角质层过度增厚
1234,梦游
1235,肾动脉硬化
1236,阴道裂伤
1237,肌肉紧张性疼痛
1238,多发性针尖样瘀点
1239,酮症酸中毒
1240,眼缺陷
1241,吞咽干食物时胸
1242,强制性思维
1243,凝视麻痹
1244,畏光
1245,持续性剧烈的肩痛
1246,颜面的火焰状母斑
1247,真性菌尿
1248,骨软化症
1249,自杀行为
1250,屈光不正性弱视
1251,白细胞计数（WBC）
1252,黏稠或脓性痰伴有腥臭味
1253,腋区疼痛
1254,咽喉干燥及灼热感
1255,足底溃疡
1256,小腿外侧及足背感觉丧失
1257,心力衰竭
1258,眶底爆折
1259,指甲床发绀
1260,乳头湿疹
1261,眼球上翻并固定
